노선명,기점정류장명,종점정류장명,운수회사명,출퇴근배차간격(분),평일배차간격(분),주말배차간격(분),주중상행첫차시간,주중상행막차시간,주말상행첫차시간,주말상행막차시간,주중하행첫차시간,주중하행막차시간,주말하행첫차시간,주말하행막차시간,안내사항,데이터기준일자
9407,구미동차고지앞,ST송은빌딩,대원버스,10,20,30,04:50,23:00,04:50,23:00,05:50,00:10,05:50,00:10,,2025-11-13
9507,판교대장로동측,청담초등학교앞,성남시내버스,19,33,52,04:40,22:30,04:40,22:30,05:55,23:45,05:55,23:45,,2025-11-13
9607,성우스타우스,청담초등학교앞,성남시내버스,25,38,60,04:50,22:20,04:50,22:20,06:05,23:30,06:05,23:30,,2025-11-13
9800,영원무역,지하철2호선강남역(중),대원버스,30,70,70,05:50,22:00,05:50,22:00,06:40,22:50,06:40,22:50,,2025-11-13
G8110,오리역,국가인권위.안중근활동터(중),대원버스,8,15,20,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,2025-11-13
M4102,오리역,숭례문,경기고속,8,15,40,04:40,23:00,04:40,23:00,05:20,23:40,05:20,23:40,,2025-11-13
누리1,성남시장례문화사업소,쇳골마을.궁내동톨게이트,성남시내버스,17,27,33,05:30,22:30,05:30,22:30,06:15,23:20,06:15,23:20,,2025-11-13
누리2,사송동종점,국군수도병원,성남시내버스,16,26,32,06:30,22:15,06:30,22:15,05:00,23:25,05:00,23:25,,2025-11-13
누리3,뫼루니육교,럭키타운,성남시내버스,17,27,33,05:00,22:00,05:00,22:00,06:00,23:00,06:00,23:00,,2025-11-13
누리4,사송동.종점,동원동,성남시내버스,18,30,55,05:00,22:00,05:00,22:00,06:00,23:10,06:00,23:10,,2025-11-13
10,신흥역.종합시장(마을),남한산성입구,성남-은행마을버스,7,9,14,06:00,00:08,06:00,00:08,06:00,00:23,06:00,00:23,,2025-11-13
10-1,신흥역.종합시장(마을),주공아파트계단,성남-은행마을버스,8,10,14,06:00,23:55,06:00,23:55,06:00,00:05,06:00,00:05,,2025-11-13
